PLAYER,TEAM,AGE,GP,W,L,MP,MIN,PTS,T.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,T.REB,AST,T.AST,TOV,T.TOV,STL,T.STL,BLK,T.BLK,PF,T.PF,FP,DD2,TD3,+/-,Play2019,Play2020
Stephen Curry,GSW,32,28,15,13,33.71428571,944,30.14285714,844,282,565,49.9,140,321,43.6,140,150,93.3,12,136,5.285714286,148,5.857142857,164,3.214285714,90,1.178571429,33,0.071428571,2,1.892857143,53,1282.6,5,0,60,1,0
Luka Doncic,DAL,21,27,13,14,35.2962963,953,29.07407407,785,271,571,47.5,65,194,33.5,178,224,79.5,24,209,8.62962963,233,9.407407407,254,4.222222222,114,1,27,0.666666667,18,2.185185185,59,1466.6,14,7,11,0,1
Bradley Beal,WAS,27,23,8,15,35.2173913,810,33.08695652,761,265,557,47.6,59,173,34.1,172,193,89.1,32,88,5.217391304,120,4.434782609,102,3.130434783,72,1.391304348,32,0.52173913,12,2.565217391,59,1118,1,0,-97,1,0
Zach LaVine,CHI,25,26,11,15,35.65384615,927,28.15384615,732,261,507,51.5,93,216,43.1,117,137,85.4,21,123,5.538461538,144,5.192307692,135,3.807692308,99,1.038461538,27,0.461538462,12,2.615384615,68,1125.3,2,0,-71,0,0
Damian Lillard,POR,30,25,15,10,35.8,895,29.24,731,223,499,44.7,100,262,38.2,185,198,93.4,10,98,4.32,108,7.32,183,3.12,78,1.04,26,0.24,6,1.52,38,1153.1,3,0,71,1,1
Giannis Antetokounmpo,MIL,26,26,15,11,33.42307692,869,27.96153846,727,268,476,56.3,29,103,28.2,162,254,63.8,47,251,11.46153846,298,5.730769231,149,3.615384615,94,1.115384615,29,1.307692308,34,3.115384615,81,1403.1,18,4,194,1,1
LeBron James,LAL,36,28,21,7,34.57142857,968,25.5,714,261,524,49.8,72,189,38.1,120,169,71,17,207,8,224,7.964285714,223,3.678571429,103,1.071428571,30,0.5,14,1.607142857,45,1346.3,12,3,215,1,1
Nikola Jokic,DEN,25,26,15,11,35.84615385,932,26.53846154,690,266,472,56.4,37,97,38.1,121,141,85.8,79,220,11.5,299,8.692307692,226,3.461538462,90,1.538461538,40,0.653846154,17,3.038461538,79,1468.8,25,6,141,1,1
Julius Randle,NYK,26,29,14,15,36.72413793,1065,23.10344828,670,232,487,47.6,52,128,40.6,154,192,80.2,41,278,11,319,5.620689655,163,3.206896552,93,0.75862069,22,0.206896552,6,3.137931034,91,1288.3,18,1,38,0,0
Nikola Vucevic,ORL,30,28,10,18,33.42857143,936,23.67857143,663,263,545,48.3,75,174,43.1,62,76,81.6,58,262,11.42857143,320,3.392857143,95,1.678571429,47,1.107142857,31,0.571428571,16,1.714285714,48,1283.5,19,0,-226,1,0
Joel Embiid,PHI,26,22,17,5,32.31818182,711,29.63636364,652,207,381,54.3,26,65,40,212,249,85.1,43,194,10.77272727,237,2.818181818,62,3.318181818,73,1.272727273,28,1.227272727,27,2.454545455,54,1121.4,14,0,162,1,1
Trae Young,ATL,22,25,11,14,34.64,866,25.92,648,183,439,41.7,55,151,36.4,227,257,88.3,18,79,3.88,97,9.32,233,4.12,103,0.72,18,0.28,7,2.08,52,1085.9,12,0,86,0,1
Donovan Mitchell,UTA,24,26,21,5,33.61538462,874,24.19230769,629,215,502,42.8,89,227,39.2,110,131,84,24,87,4.269230769,111,5.076923077,132,2.961538462,77,0.769230769,20,0.346153846,9,2.230769231,58,970.2,1,0,165,0,1
Jaylen Brown,BOS,24,24,12,12,33.16666667,796,26,624,240,468,51.3,56,137,40.9,88,117,75.2,31,105,5.666666667,136,3.375,81,2.666666667,64,1.291666667,31,0.625,15,2.875,69,982.7,4,0,29,0,0
Brandon Ingram,NOP,23,26,11,15,35,910,24,624,217,466,46.6,66,169,39.1,124,143,86.7,16,125,5.423076923,141,4.692307692,122,2.346153846,61,0.615384615,16,0.961538462,25,1.692307692,44,1038.2,4,0,-16,0,1
Jerami Grant,DET,26,27,8,19,36.25925926,979,23.03703704,622,206,474,43.5,68,177,38.4,142,162,87.7,23,122,5.37037037,145,3.037037037,82,1.666666667,45,0.814814815,22,1.222222222,33,2.703703704,73,1039,3,0,-18,0,0
Kawhi Leonard,LAC,29,23,17,6,34.43478261,792,26.73913043,615,224,437,51.3,44,113,38.9,123,140,87.9,19,116,5.869565217,135,5,115,1.826086957,42,1.782608696,41,0.608695652,14,1.47826087,34,1072.5,4,0,240,1,1
Zion Williamson,NOP,20,25,11,14,32.68,817,24.36,609,235,387,60.7,4,13,30.8,135,190,71.1,62,108,6.8,170,2.92,73,2.32,58,0.96,24,0.76,19,2.64,66,993.5,6,0,0,0,0
De'Aaron Fox,SAC,23,26,12,14,33.07692308,860,23.23076923,604,219,460,47.6,48,140,34.3,118,171,69,18,68,3.307692308,86,6.807692308,177,3.115384615,81,1.230769231,32,0.5,13,2.692307692,70,1026.7,5,0,-89,0,0
Malcolm Brogdon,IND,28,28,14,14,35.85714286,1004,21.21428571,594,224,512,43.8,71,188,37.8,75,83,90.4,20,111,4.678571429,131,6.535714286,183,1.964285714,55,1.285714286,36,0.25,7,1.785714286,50,1099.7,2,0,-3,0,0
Domantas Sabonis,IND,24,28,14,14,36.07142857,1010,20.96428571,587,224,428,52.3,28,79,35.4,111,158,70.3,77,243,11.42857143,320,5.571428571,156,3.392857143,95,0.928571429,26,0.642857143,18,3.535714286,99,1242,22,2,-58,0,1
Gordon Hayward,CHA,30,26,13,13,35.46153846,922,22.26923077,579,210,432,48.6,57,135,42.2,102,118,86.4,24,118,5.461538462,142,3.846153846,100,2.115384615,55,1.115384615,29,0.423076923,11,1.884615385,49,964.4,1,0,15,0,0
Malik Beasley,MIN,24,27,7,20,32.33333333,873,20.92592593,565,207,452,45.8,92,229,40.2,59,69,85.5,26,111,5.074074074,137,2.555555556,69,1.518518519,41,0.777777778,21,0.185185185,5,1.592592593,43,869.9,0,0,-147,0,0
Kyrie Irving,BKN,28,20,12,8,35.35,707,28.25,565,213,399,53.4,61,138,44.2,78,85,91.8,18,74,4.6,92,5.65,113,2.4,48,1.05,21,0.75,15,2.95,59,904.9,2,0,131,1,0
Khris Middleton,MIL,29,27,16,11,32.81481481,886,20.66666667,558,205,402,51,67,151,44.4,81,90,90,20,136,5.777777778,156,6.037037037,163,2.444444444,66,1,27,0.148148148,4,2.703703704,73,1016.7,6,0,179,1,1
Kevin Durant,BKN,32,19,12,7,35.78947368,680,29,551,188,359,52.4,49,113,43.4,126,145,86.9,7,132,7.315789474,139,5.263157895,100,3.526315789,67,0.736842105,14,1.421052632,27,2.263157895,43,923.8,6,0,159,1,0
James Harden,BKN,31,23,12,11,37.69565217,867,23.86956522,549,169,358,47.2,68,179,38,143,160,89.4,18,150,7.304347826,168,11.30434783,260,4.391304348,101,1.043478261,24,0.782608696,18,2.304347826,53,1165.6,18,5,40,1,1
Collin Sexton,CLE,22,24,8,16,35.29166667,847,22.75,546,202,417,48.4,35,86,40.7,107,133,80.5,18,43,2.541666667,61,4.25,102,2.458333333,59,1.083333333,26,0.166666667,4,2.916666667,70,803.2,0,0,-111,0,0
Devin Booker,PHX,24,22,15,7,35.18181818,774,24.5,539,197,399,49.4,47,129,36.4,98,119,82.4,4,79,3.772727273,83,4.272727273,94,3.590909091,79,0.863636364,19,0.318181818,7,3.272727273,72,778.6,1,0,66,0,1
Jayson Tatum,BOS,22,21,11,10,35.33333333,742,25.61904762,538,198,440,45,59,145,40.7,83,95,87.4,12,137,7.095238095,149,4.476190476,94,2.333333333,49,1.238095238,26,0.428571429,9,1.857142857,39,913.8,5,0,78,0,1
Fred VanVleet,TOR,26,27,12,15,36.33333333,981,19.92592593,538,182,443,41.1,87,232,37.5,87,96,90.6,19,95,4.222222222,114,6.592592593,178,2,54,1.703703704,46,0.703703704,19,2.222222222,60,1082.8,3,0,86,0,0
Terry Rozier,CHA,26,26,12,14,33.34615385,867,20.57692308,535,194,396,49,89,200,44.5,58,73,79.5,15,91,4.076923077,106,3.038461538,79,1.730769231,45,1.269230769,33,0.461538462,12,1.961538462,51,870.7,0,0,-48,0,0
Anthony Davis,LAL,27,23,17,6,32.82608696,755,22.52173913,518,204,383,53.3,17,58,29.3,93,130,71.5,47,146,8.391304348,193,3.043478261,70,1.956521739,45,1.347826087,31,1.782608696,41,1.826086957,42,1025.6,8,0,135,1,1
Tobias Harris,PHI,28,25,17,8,34.36,859,20.68,517,199,383,52,45,106,42.5,74,82,90.2,32,154,7.44,186,3.04,76,2.12,53,0.8,20,0.8,20,2.12,53,921.2,6,0,123,0,0
Jordan Clarkson,UTA,28,28,23,5,25.96428571,727,18.21428571,510,187,405,46.2,90,234,38.5,46,48,95.8,25,90,4.107142857,115,2.071428571,58,1.857142857,52,0.928571429,26,0.25,7,1.428571429,40,782,0,0,143,0,0
DeMar DeRozan,SAS,31,25,15,10,33.4,835,19.8,495,164,336,48.8,16,48,33.3,151,169,89.3,19,106,5,125,6.88,172,1.64,41,0.76,19,0.32,8,1.76,44,943,3,0,-19,0,0
Bam Adebayo,MIA,23,25,11,14,33.56,839,19.76,494,182,319,57.1,2,5,40,128,152,84.2,48,187,9.4,235,5.28,132,3,75,1,25,1,25,2.48,62,1049,14,0,-22,0,1
Pascal Siakam,TOR,26,24,10,14,35.66666667,856,20.5,492,183,397,46.1,29,96,30.2,97,122,79.5,50,131,7.541666667,181,4.458333333,107,2.25,54,1.166666667,28,0.625,15,3.166666667,76,944.7,7,1,32,0,1
Andrew Wiggins,GSW,25,28,15,13,32,896,17.5,490,187,401,46.6,52,141,36.9,64,96,66.7,27,103,4.642857143,130,2.178571429,61,1.678571429,47,0.714285714,20,1.357142857,38,2.428571429,68,864.5,0,0,-1,0,0
John Collins,ATL,23,27,11,16,31.7037037,856,18.11111111,489,193,355,54.4,39,95,41.1,64,75,85.3,59,147,7.62962963,206,1.555555556,42,1.37037037,37,0.481481481,13,1,27,3.333333333,90,882.2,7,0,61,0,0
Paul George,LAC,30,20,16,4,34,680,24.35,487,168,331,50.8,75,157,47.8,76,84,90.5,13,111,6.2,124,5.45,109,3.6,72,1.2,24,0.45,9,2.25,45,826.3,3,0,200,0,0
RJ Barrett,NYK,20,29,14,15,33.96551724,985,16.51724138,479,182,426,42.7,30,99,30.3,85,115,73.9,39,140,6.172413793,179,3.137931034,91,1.862068966,54,0.724137931,21,0.172413793,5,2.482758621,72,854.3,3,0,31,0,0
Shai Gilgeous-Alexander,OKC,22,21,9,12,33.76190476,709,22.57142857,474,167,330,50.6,39,102,38.2,101,131,77.1,14,102,5.523809524,116,6.523809524,137,2.952380952,62,0.857142857,18,0.666666667,14,2.047619048,43,852.7,3,0,-101,0,0
Tim Hardaway Jr.,DAL,28,27,13,14,30.55555556,825,16.66666667,450,158,360,43.9,83,211,39.3,51,65,78.5,6,80,3.185185185,86,1.592592593,43,0.925925926,25,0.666666667,18,0.148148148,4,1.592592593,43,658.7,0,0,-29,0,0
Jamal Murray,DEN,23,24,15,9,34.79166667,835,18.54166667,445,165,373,44.2,50,147,34,65,81,80.2,16,81,4.041666667,97,4.416666667,106,2.041666667,49,1.041666667,25,0.25,6,2.208333333,53,764.4,0,0,151,0,0
Bojan Bogdanovic,UTA,31,28,23,5,31,868,15.60714286,437,144,341,42.2,74,188,39.4,75,87,86.2,14,100,4.071428571,114,2.142857143,60,1.464285714,41,0.392857143,11,0.035714286,1,1.535714286,43,658.8,0,0,225,0,0
Andre Drummond,CLE,27,25,9,16,28.88,722,17.48,437,180,380,47.4,0,8,0,77,129,59.7,101,236,13.48,337,2.56,64,3.24,81,1.6,40,1.16,29,2.76,69,1063.4,18,0,-108,0,0
Buddy Hield,SAC,28,27,12,15,34.81481481,940,16.11111111,435,144,382,37.7,106,281,37.7,41,47,87.2,10,120,4.814814815,130,3,81,1.962962963,53,0.888888889,24,0.333333333,9,2.740740741,74,758.5,1,0,-89,0,0
Harrison Barnes,SAC,28,27,12,15,35.11111111,948,15.77777778,426,142,296,48,45,116,38.8,97,115,84.3,29,139,6.222222222,168,3.37037037,91,1.407407407,38,0.777777778,21,0.185185185,5,1.148148148,31,804.1,1,0,-70,0,0
Kyle Lowry,TOR,34,24,9,15,34.875,837,17.70833333,425,142,318,44.7,66,173,38.2,75,86,87.2,19,110,5.375,129,6.458333333,155,2.916666667,70,1.125,27,0.166666667,4,3.166666667,76,835.3,5,1,49,1,1
Joe Harris,BKN,29,29,17,12,30.93103448,897,14.62068966,424,158,301,52.5,94,189,49.7,14,21,66.7,18,83,3.482758621,101,1.896551724,55,0.793103448,23,0.517241379,15,0.24137931,7,2.413793103,70,670.7,0,0,160,0,0
Chris Paul,PHX,35,25,16,9,32.28,807,16.72,418,158,328,48.2,34,95,35.8,68,70,97.1,14,104,4.72,118,8.24,206,2.44,61,1.24,31,0.28,7,2.84,71,921.6,7,0,66,0,1
Norman Powell,TOR,27,25,11,14,28.04,701,16.48,412,139,301,46.2,58,135,43,76,87,87.4,11,61,2.88,72,1.4,35,1.32,33,1.08,27,0.16,4,1.96,49,610.9,0,0,51,0,0
LaMelo Ball,CHA,19,28,13,15,27.71428571,776,14.64285714,410,152,348,43.7,51,144,35.4,55,69,79.7,43,130,6.178571429,173,6.107142857,171,2.678571429,75,1.535714286,43,0.357142857,10,2.642857143,74,958.1,6,1,-6,0,0
Dejounte Murray,SAS,24,27,16,11,30.40740741,821,15.14814815,409,167,374,44.7,28,89,31.5,47,58,81,17,177,7.185185185,194,5.037037037,136,1.666666667,45,1.555555556,42,0.074074074,2,2.148148148,58,932.8,8,2,40,0,0
Coby White,CHI,21,26,11,15,33.84615385,880,15.69230769,408,147,362,40.6,63,177,35.6,51,58,87.9,9,113,4.692307692,122,5.461538462,142,2.423076923,63,0.384615385,10,0.115384615,3,2.423076923,63,743.4,2,0,-83,0,0
Terrence Ross,ORL,30,27,10,17,28.74074074,776,14.77777778,399,144,356,40.4,50,153,32.7,61,69,88.4,8,76,3.111111111,84,2.074074074,56,1.740740741,47,0.925925926,25,0.481481481,13,1.925925926,52,650.8,0,0,-139,0,0
Eric Gordon,HOU,32,21,10,11,29.19047619,613,18.80952381,395,131,282,46.5,57,162,35.2,76,90,84.4,7,42,2.333333333,49,2.571428571,54,1.857142857,39,0.571428571,12,0.523809524,11,1.380952381,29,564.8,0,0,3,0,0
Keldon Johnson,SAS,21,27,16,11,30.07407407,812,14.48148148,391,144,308,46.8,26,80,32.5,77,99,77.8,47,141,6.962962963,188,2.259259259,61,1.481481481,40,0.777777778,21,0.518518519,14,2.296296296,62,773.1,5,0,-93,0,0
Rudy Gobert,UTA,28,28,23,5,30.21428571,846,13.92857143,390,150,235,63.8,0,1,0,90,159,56.6,97,273,13.21428571,370,1.285714286,36,1.678571429,47,0.392857143,11,2.75,77,2.321428571,65,1105,20,0,254,0,1
Kelly Oubre Jr.,GSW,25,28,15,13,28.89285714,809,13.92857143,390,142,353,40.2,44,148,29.7,62,81,76.5,38,125,5.821428571,163,1.392857143,39,1.392857143,39,1.035714286,29,0.821428571,23,2.357142857,66,761.1,3,0,-77,0,0
Dennis Schroder,LAL,27,28,21,7,31.03571429,869,13.89285714,389,138,318,43.4,28,89,31.5,85,103,82.5,17,87,3.714285714,104,4.357142857,122,2.142857143,60,0.821428571,23,0.142857143,4,2.678571429,75,717.8,1,0,130,0,0
Anthony Edwards,MIN,19,27,7,20,27.55555556,744,14.33333333,387,145,376,38.6,48,152,31.6,49,61,80.3,18,77,3.518518519,95,2.222222222,60,1.555555556,42,0.740740741,20,0.296296296,8,1.518518519,41,633,0,0,-111,0,0
D'Angelo Russell,MIN,24,20,5,15,29.15,583,19.25,385,139,326,42.6,59,148,39.9,48,64,75,9,43,2.6,52,5.05,101,2.7,54,1.1,22,0.5,10,1.95,39,640.9,1,0,-197,1,0
Victor Oladipo,HOU,28,20,10,10,31.95,639,19.1,382,140,349,40.1,48,146,32.9,54,73,74,4,100,5.2,104,4.6,92,2.2,44,1.35,27,0.4,8,2.4,48,705.8,0,0,35,1,0
Ben Simmons,PHI,24,25,18,7,33.4,835,15.24,381,146,260,56.2,1,6,16.7,88,132,66.7,40,167,8.28,207,8.04,201,3.36,84,1.68,42,0.8,20,3.2,80,1032.9,11,3,111,1,1
Mike Conley,UTA,33,23,18,5,29.30434783,674,16.47826087,379,131,291,45,64,156,41,53,65,81.5,23,61,3.652173913,84,5.826086957,134,2,46,1.391304348,32,0.086956522,2,1.826086957,42,736.8,2,0,265,0,0
Jrue Holiday,MIL,30,23,15,8,32.47826087,747,16.39130435,377,150,299,50.2,43,111,38.7,34,43,79.1,29,81,4.782608696,110,5.391304348,124,1.565217391,36,1.913043478,44,0.608695652,14,1.739130435,40,833,0,0,172,0,0
Christian Wood,HOU,25,17,8,9,31.17647059,530,22,374,149,267,55.8,32,76,42.1,44,64,68.8,31,143,10.23529412,174,1.294117647,22,1.823529412,31,0.941176471,16,1.529411765,26,1.882352941,32,710.8,9,0,42,0,0
Mikal Bridges,PHX,24,26,17,9,33.11538462,861,14.30769231,372,133,265,50.2,51,129,39.5,55,66,83.3,37,101,5.307692308,138,2.115384615,55,0.769230769,20,0.615384615,16,0.961538462,25,1.923076923,50,723.1,1,0,71,0,0
Montrezl Harrell,LAL,27,28,21,7,24.82142857,695,13.17857143,369,150,233,64.4,0,4,0,69,96,71.9,63,114,6.321428571,177,1.035714286,29,1.214285714,34,0.678571429,19,0.714285714,20,2.178571429,61,707.9,2,0,82,0,0
Chris Boucher,TOR,28,27,12,15,23.11111111,624,13.55555556,366,129,244,52.9,41,95,43.2,67,90,74.4,55,128,6.777777778,183,1.037037037,28,0.666666667,18,0.481481481,13,2,54,2.740740741,74,810.6,7,0,60,0,0
John Wall,HOU,30,18,9,9,30.83333333,555,20,360,130,296,43.9,37,103,35.9,63,85,74.1,10,57,3.722222222,67,6.222222222,112,3.277777778,59,0.944444444,17,0.666666667,12,1.333333333,24,636.4,2,0,-14,0,0
Deandre Ayton,PHX,22,26,17,9,32,832,13.84615385,360,157,269,58.4,3,15,20,43,60,71.7,98,223,12.34615385,321,1.769230769,46,2.153846154,56,0.307692308,8,1,26,3.346153846,87,860.2,16,0,19,0,0
Doug McDermott,IND,29,27,14,13,26.14814815,706,13.25925926,358,140,272,51.5,43,119,36.1,35,44,79.5,27,85,4.148148148,112,1.37037037,37,1.037037037,28,0.259259259,7,0.074074074,2,1.777777778,48,546.9,0,0,67,0,0
Patty Mills,SAS,32,27,16,11,25.44444444,687,13.22222222,357,127,283,44.9,70,175,40,33,35,94.3,7,44,1.888888889,51,2.703703704,73,0.962962963,26,0.666666667,18,0.037037037,1,1.444444444,39,558.7,0,0,102,0,0
Gary Trent Jr.,POR,22,24,15,9,29.70833333,713,14.875,357,128,295,43.4,76,170,44.7,25,33,75.8,13,39,2.166666667,52,1.291666667,31,0.666666667,16,0.666666667,16,0.166666667,4,1.416666667,34,509.9,0,0,4,0,0
Elfrid Payton,NYK,26,29,14,15,27.86206897,808,12.20689655,354,150,343,43.7,14,55,25.5,40,56,71.4,38,74,3.862068966,112,3.517241379,102,1.896551724,55,0.655172414,19,0.206896552,6,1.965517241,57,661.4,0,0,-34,0,0
Myles Turner,IND,24,26,14,12,31.23076923,812,13.42307692,349,123,246,50,39,118,33.1,64,83,77.1,33,142,6.730769231,175,1.038461538,27,1.384615385,36,1.115384615,29,3.461538462,90,3.653846154,95,920.5,5,0,55,0,0
Kristaps Porzingis,DAL,25,17,8,9,29.94117647,509,20.52941176,349,132,279,47.3,38,108,35.2,47,55,85.5,35,105,8.235294118,140,1.294117647,22,1.235294118,21,0.352941176,6,1.588235294,27,3.294117647,56,628,6,0,-62,0,0
Russell Westbrook,WAS,32,18,4,14,32.83333333,591,19.27777778,347,133,325,40.9,23,76,30.3,58,91,63.7,30,136,9.222222222,166,9.388888889,169,4.777777778,86,0.777777778,14,0.333333333,6,2.722222222,49,773.7,13,6,-120,0,1
CJ McCollum,POR,29,13,8,5,33.84615385,440,26.69230769,347,123,260,47.3,63,143,44.1,38,45,84.4,7,44,3.923076923,51,5,65,1,13,1.307692308,17,0.307692308,4,2.153846154,28,555.7,2,0,56,0,0
Jarrett Allen,CLE,22,28,10,18,26.21428571,734,12.32142857,345,122,190,64.2,1,4,25,100,132,75.8,82,170,9,252,1.607142857,45,1.535714286,43,0.464285714,13,1.642857143,46,1.571428571,44,848.9,10,0,-33,0,0
Dillon Brooks,MEM,25,22,11,11,29.13636364,641,15.68181818,345,135,343,39.4,42,135,31.1,33,43,76.7,25,48,3.318181818,73,2.681818182,59,2.181818182,48,1.363636364,30,0.409090909,9,3.181818182,70,590.1,0,0,-27,0,0
Devonte' Graham,CHA,25,25,11,14,32.84,821,13.72,343,109,310,35.2,70,202,34.7,55,71,77.5,14,61,3,75,5.68,142,1.4,35,1,25,0,0,1.52,38,686,3,0,73,0,0
